time (s),power (mW),amplitude (m)
0.0,-0.0618638396213953,1e-06
1e-06,-0.05957625378556841,9.68583161128631e-07
2e-06,-0.04870791472790259,8.763066800438636e-07
3e-06,-0.028175604135761034,7.289686274214115e-07
4e-06,-0.0031813430063074577,5.358267949789966e-07
4.9999999999999996e-06,0.00812615664084504,3.0901699437494744e-07
6e-06,-0.0013520413709535717,6.27905195293133e-08
7e-06,0.00048411519650315427,-1.8738131458572458e-07
8e-06,-0.0032666016685851673,-4.257792915650727e-07
9e-06,0.012746292631735656,-6.374239897486897e-07
9.999999999999999e-06,0.04228291232387349,-8.090169943749473e-07
1.1e-05,0.05126519705342858,-9.297764858882513e-07
1.2e-05,0.06224788303104489,-9.921147013144778e-07
1.3e-05,0.06224788303104489,-9.921147013144778e-07
1.4e-05,0.05126519705342858,-9.297764858882514e-07
1.4999999999999999e-05,0.04228291232387349,-8.090169943749477e-07
1.6e-05,0.012746292631735656,-6.374239897486895e-07
1.7e-05,-0.0032666016685851673,-4.257792915650729e-07
1.8e-05,0.00048411519650315427,-1.873813145857246e-07
1.8999999999999998e-05,-0.0013520413709535717,6.279051952931283e-08
1.9999999999999998e-05,0.00812615664084504,3.0901699437494723e-07
2.1e-05,-0.0031813430063074577,5.358267949789959e-07
2.2e-05,-0.028175604135761034,7.289686274214112e-07
2.3e-05,-0.04870791472790259,8.763066800438636e-07
2.4e-05,-0.05957625378556841,9.685831611286312e-07
2.4999999999999998e-05,-0.0618638396213953,1e-06
2.6e-05,-0.05957625378556841,9.685831611286312e-07
2.7e-05,-0.04870791472790259,8.763066800438638e-07
2.8e-05,-0.028175604135761034,7.289686274214115e-07
2.9e-05,-0.0031813430063074577,5.358267949789964e-07
2.9999999999999997e-05,0.00812615664084504,3.0901699437494856e-07
3.1e-05,-0.0013520413709535717,6.279051952931331e-08
3.2e-05,0.00048411519650315427,-1.87381314585725e-07
3.2999999999999996e-05,-0.0032666016685851673,-4.257792915650717e-07
